Trainning Data,,,,,,
,,,,,,
SL No,Sample Id,Intent Id,Intent Name,Intent Sample,Intent Type,
375,154540,25514,¿En dónde tienen Oficinas?,Tienen oficinas en,INTENT,
376,154541,25519,Cursos INAI,capacitarme,INTENT,
377,154542,25526,¿Cuáles son los criterios de interpretación?,sus criterios,INTENT,
378,154543,25527,¿Dónde está el directorio del INAI y comunicarme?,extensión,INTENT,
379,154544,25529,¿Dónde están los informes del INAI?,informes,INTENT,
380,154545,25529,¿Dónde están los informes del INAI?,de labores,INTENT,
381,154546,29662,Arbol - Solicitudes - PNT,solicitud mediante la PNT,INTENT,
382,154547,29662,Arbol - Solicitudes - PNT,una solicitud por la PNT,INTENT,
383,154548,29662,Arbol - Solicitudes - PNT,solicitud por la plataforma,INTENT,
384,154549,25686,Como tener acceso a mi información de salud,acceso a mi informacion de salud,INTENT,
385,154550,25682,Como hacer una denuncia de vulneración de datos,sufrí una vulneracion,INTENT,
386,154551,29790,CURP,Mi curp,INTENT,
387,171587,503109,RFC,RFC,INTENT,
388,171588,503109,RFC,Registro de Contribuyentes,INTENT,
389,171589,503109,RFC,Registro Federal de Contribuyentes,INTENT,
390,171590,503109,RFC,SAT,INTENT,
391,171591,503109,RFC,Servicio de Administraticion Tributaria,INTENT,
392,171592,503109,RFC,Registro Contribuyentes,INTENT,
393,171593,25431,despedida,Adios,INTENT,
394,171594,25431,despedida,Hasta luego,INTENT,
395,171595,25431,despedida,Bye,INTENT,
396,171613,25588,como saber cuánto ganan los funcionarios,"Cuál es el salario mensual neto del Gobernador de Xalapa, Ver.",INTENT,
397,171614,25588,como saber cuánto ganan los funcionarios,Hola. Quiero saber el sueldo del Secretario de Educación Jalisco,INTENT,
398,171769,30593,Hola,Buen día,INTENT,
399,171770,30593,Hola,Buena tarde,INTENT,
400,172116,504791,WhatsApp,Whats,INTENT,
401,172117,504791,WhatsApp,whatsapp,INTENT,
402,172118,504800,No sé,protai,INTENT,
403,172119,504800,No sé,pronadatos,INTENT,
404,172861,25512,Saber que es el CAS,Consulta,INTENT,
405,172862,25512,Saber que es el CAS,asesoría,INTENT,
406,172863,25512,Saber que es el CAS,Orientación,INTENT,
407,172864,30408,Fintech,Préstamos,INTENT,
408,172865,30408,Fintech,Estafas,INTENT,
409,172866,30408,Fintech,estafado,INTENT,
410,175384,30141,Arbol - Realizar Seguimientos ,Folio,INTENT,
411,175385,30141,Arbol - Realizar Seguimientos ,seguimiento a un folio,INTENT,
412,175386,30141,Arbol - Realizar Seguimientos ,Folio de,INTENT,
413,175387,25675,cómo obtener un Número de seguro social.,numero del IMSS,INTENT,
414,175388,25676,Cómo unificar el número de seguro social,fusionar numeros de seguro,INTENT,
415,175389,25505,Saber cómo contactar al CAS,Soporte técnico,INTENT,
416,175390,29525,Leyes de Protección de Datos Personales,Proteger mis datos,INTENT,
417,175391,25578,Qué es la PNT,Portal,INTENT,
418,175392,25578,Qué es la PNT,Portal de Transparencia,INTENT,
419,175393,25514,¿En dónde tienen Oficinas?,Aguascalientes,INTENT,
420,175394,25514,¿En dónde tienen Oficinas?,Baja California,INTENT,
421,175395,25514,¿En dónde tienen Oficinas?,Baja California Sur,INTENT,
422,175396,25514,¿En dónde tienen Oficinas?,Campeche,INTENT,
423,175397,25514,¿En dónde tienen Oficinas?,Chiapas,INTENT,
424,175398,25514,¿En dónde tienen Oficinas?,Chihuahua,INTENT,
425,175399,25514,¿En dónde tienen Oficinas?,Coahuila,INTENT,
426,175400,25514,¿En dónde tienen Oficinas?,Colima,INTENT,
427,175401,25514,¿En dónde tienen Oficinas?,Durango,INTENT,
428,175402,25514,¿En dónde tienen Oficinas?,Guanajuato,INTENT,
429,175403,25514,¿En dónde tienen Oficinas?,Guerrero,INTENT,
430,175404,25514,¿En dónde tienen Oficinas?,Hidalgo,INTENT,
431,175405,25514,¿En dónde tienen Oficinas?,Jalisco,INTENT,
432,175406,25514,¿En dónde tienen Oficinas?,México,INTENT,
433,175407,25514,¿En dónde tienen Oficinas?,Michoacán,INTENT,
434,175408,25514,¿En dónde tienen Oficinas?,Morelos,INTENT,
435,175409,25514,¿En dónde tienen Oficinas?,Nayarit,INTENT,
436,175410,25514,¿En dónde tienen Oficinas?,Nuevo León,INTENT,
437,175411,25514,¿En dónde tienen Oficinas?,Oaxaca,INTENT,
438,175412,25514,¿En dónde tienen Oficinas?,Puebla,INTENT,
439,175413,25514,¿En dónde tienen Oficinas?,Querétaro,INTENT,
440,175414,25514,¿En dónde tienen Oficinas?,Quintana Roo,INTENT,
441,175415,25514,¿En dónde tienen Oficinas?,San Luis Potosí,INTENT,
442,175416,25514,¿En dónde tienen Oficinas?,Sinaloa,INTENT,
443,175417,25514,¿En dónde tienen Oficinas?,Sonora,INTENT,
444,175418,25514,¿En dónde tienen Oficinas?,Tabasco,INTENT,
445,175419,25514,¿En dónde tienen Oficinas?,Tamaulipas,INTENT,
446,175420,25514,¿En dónde tienen Oficinas?,Tlaxcala,INTENT,
447,175421,25514,¿En dónde tienen Oficinas?,Veracruz,INTENT,
448,175422,25514,¿En dónde tienen Oficinas?,Yucatán,INTENT,
449,175423,25514,¿En dónde tienen Oficinas?,Zacatecas,INTENT,
450,175424,25514,¿En dónde tienen Oficinas?,Mexicali,INTENT,
451,175425,25514,¿En dónde tienen Oficinas?,Tuxtla,INTENT,
452,175426,25514,¿En dónde tienen Oficinas?,Saltillo,INTENT,
453,175427,25514,¿En dónde tienen Oficinas?,Chilpancingo,INTENT,
454,175428,25514,¿En dónde tienen Oficinas?,Pachuca,INTENT,
455,175429,25514,¿En dónde tienen Oficinas?,Guadalajara,INTENT,
456,175430,25514,¿En dónde tienen Oficinas?,Toluca,INTENT,
457,175431,25514,¿En dónde tienen Oficinas?,Morelia,INTENT,
458,175432,25514,¿En dónde tienen Oficinas?,Cuernavaca,INTENT,
459,175433,25514,¿En dónde tienen Oficinas?,Tepic,INTENT,
460,175434,25514,¿En dónde tienen Oficinas?,Monterrey,INTENT,
461,175435,25514,¿En dónde tienen Oficinas?,Chetumal,INTENT,
462,175436,25514,¿En dónde tienen Oficinas?,Culiacán,INTENT,
463,175437,25514,¿En dónde tienen Oficinas?,Hermosillo,INTENT,
464,175438,25514,¿En dónde tienen Oficinas?,Villahermosa,INTENT,
465,175439,25514,¿En dónde tienen Oficinas?,Xalapa,INTENT,
466,175440,25514,¿En dónde tienen Oficinas?,Mérida,INTENT,
